Label,Element,Average,STD,A,B,A M,B M
36634,Al 308.215,7766.46,217.3787666723685,7612.75,7920.17,,
36634,Ca 430.253,69210.905,2586.221838986363,67382.17,71039.64,,
36634,P 213.618,15747.89,592.4706298205839,15328.95,16166.83,,
36634,K 766.491,40937.61,2054.046204397555,39485.18,42390.04,,
36634,Na 589.592,35480.41,1825.1557393274663,34189.83,36770.99,,
36634,Fe 238.204,14369.91,642.4772213860961,13915.61,14824.21,,
,,,,,,,
36634,As 188.980,9.285,2.5526554800834362,11.09,7.48,,
36634,B 249.772,55.629999999999995,0.3394112549695406,55.39,55.87,,
36634,Cd 214.439,1.31,0.14142135623730948,1.41,1.21,,
36634,Co 258.033,-3.45,1.1030865786510144,-4.23,-2.67,,
36634,Cr 267.716,70.68,5.81241774135343,66.57,74.79,,
36634,Cu 327.395,59.995000000000005,1.0535891039679572,60.74,59.25,,
36634,Hg 194.164,2.05,2.4183051916579923,0.34,3.76,,
36634,Mg 279.553,5703.1,294.5524007710685,5494.82,5911.38,,
36634,Mn 257.610,464.09000000000003,22.61327486234576,448.1,480.08,,
36634,Mo 202.032,12.625,1.8031222920256966,11.35,13.9,,
36634,Ni 225.385,53.5,2.503158005400383,51.73,55.27,,
36634,Ni 227.877,52.905,7.488260812765541,47.61,58.2,,
36634,Pb 220.353,29.925,2.1142492757477784,31.42,28.43,,
36634,Sb 206.834,-2.695,0.7990306627407986,-2.13,-3.26,,
36634,Si 251.611,9016.34,606.7541868005526,8587.3,9445.38,,
36634,Sn 189.925,5.8,1.0465180361560906,5.06,6.54,,
36634,Ti 336.122,257.52,21.55261469056596,242.28,272.76,,
36634,V 319.068,67.265,3.867874093090414,64.53,70.0,,
36634,Zn 213.857,250.76000000000002,17.97465437776205,238.05,263.47,,
36634,Zn 472.215,271.32,46.725616100807066,238.28,304.36,,
,,,,,,,
,,,,,,,
90128,Al 308.215,10087.335,565.0588862823652,10083.14,10590.84,9299.31,10376.05
90128,Ca 430.253,87167.15,3606.6814802067934,86464.02,91925.09,83181.26,87098.23
90128,P 213.618,15627.052500000002,639.894569043735,15520.74,16480.13,14929.23,15578.11
90128,K 766.491,6720.3475,513.2140559503415,7078.06,7200.39,6100.41,6502.53
90128,Na 589.592,4213.0425,377.6350133285665,4551.15,4514.79,3798.91,3987.32
90128,Fe 238.204,19076.4325,834.9129228598224,18965.36,20188.01,18162.18,18990.18
,,,,,,,
90128,As 188.980,7.24,3.9116322253845217,12.25,8.2,5.27,3.24
90128,B 249.772,47.20249999999999,2.94714975300996,49.53,48.83,42.97,47.48
90128,Cd 214.439,1.59,0.12301761391497287,1.51,1.7,1.69,1.46
90128,Co 258.033,-6.4575000000000005,2.3175615777507765,-5.92,-9.3,-6.9,-3.71
90128,Cr 267.716,58.955,4.439793538743287,55.05,58.78,56.78,65.21
90128,Cu 327.395,81.58,5.979080196819574,82.22,89.42,75.17,79.51
90128,Hg 194.164,2.8725,1.2034775998469325,2.35,4.16,1.46,3.52
90128,Mg 279.553,3332.4450000000006,125.01787672169134,3300.16,3499.53,3198.55,3331.54
90128,Mn 257.610,533.995,21.766435169774603,529.47,563.19,510.61,532.71
90128,Mo 202.032,11.780000000000001,0.6326663154196425,11.06,11.48,12.1,12.48
90128,Ni 225.385,53.06,3.070276860480176,49.58,56.61,51.69,54.36
90128,Ni 227.877,56.595000000000006,6.039301836029286,53.79,51.95,55.21,65.43
90128,Pb 220.353,35.065,2.1103791128610068,37.53,32.41,34.83,35.49
90128,Sb 206.834,-4.789999999999999,3.4395057784513168,-5.15,-8.54,-0.2,-5.27
90128,Si 251.611,8962.865,466.04820440951517,9311.56,9396.57,8437.8,8705.53
90128,Sn 189.925,10.4475,1.2154388782109395,10.84,10.5,11.67,8.78
90128,Ti 336.122,278.59499999999997,24.047826651626274,279.86,296.02,244.2,294.3
90128,V 319.068,80.68,2.3476939039548252,83.27,81.9,79.51,78.04
90128,Zn 213.857,327.535,28.975601805657124,344.57,322.4,288.94,354.23
90128,Zn 472.215,362.76500000000004,22.50357082775975,379.89,353.97,335.0,382.2
,,,,,,,
,,,,,,,
36641,Al 308.215,436.41499999999996,20.824294705943817,421.69,451.14,,
36641,Ca 430.253,4749.445,85.28414887890926,4689.14,4809.75,,
36641,P 213.618,1323.715,137.04436526176474,1420.62,1226.81,,
36641,K 766.491,1522.8400000000001,10.55003317530318,1515.38,1530.3,,
36641,Na 589.592,1098.5900000000001,30.928850609099594,1120.46,1076.72,,
36641,Fe 238.204,1278.1399999999999,48.691372952505596,1312.57,1243.71,,
,,,,,,,
36641,As 188.980,1.18,0.3818376618407356,0.91,1.45,,
36641,B 249.772,2.56,0.0,2.56,2.56,,
36641,Cd 214.439,0.21000000000000002,0.014142135623730944,0.22,0.2,,
36641,Co 258.033,-0.135,0.16263455967290594,-0.02,-0.25,,
36641,Cr 267.716,5.02,0.127279220613579,5.11,4.93,,
36641,Cu 327.395,11.76,0.2687005768508874,11.95,11.57,,
36641,Hg 194.164,0.22000000000000003,0.08485281374238572,0.28,0.16,,
36641,Mg 279.553,234.56,11.356134905855955,242.59,226.53,,
36641,Mn 257.610,7.465,0.0919238815542511,7.53,7.4,,
36641,Mo 202.032,11.875,0.049497474683058526,11.91,11.84,,
36641,Ni 225.385,4.71,0.31112698372208053,4.49,4.93,,
36641,Ni 227.877,5.109999999999999,0.15556349186104027,5.0,5.22,,
36641,Pb 220.353,0.9,0.16970562748477142,1.02,0.78,,
36641,Sb 206.834,0.30000000000000004,0.8485281374238571,-0.3,0.9,,
36641,Si 251.611,398.04999999999995,63.24363050932481,353.33,442.77,,
36641,Sn 189.925,-0.81,0.08485281374238571,-0.87,-0.75,,
36641,Ti 336.122,5.925000000000001,1.4495689014324222,4.9,6.95,,
36641,V 319.068,4.33,0.0707106781186545,4.28,4.38,,
36641,Zn 213.857,66.065,0.5161879502661825,66.43,65.7,,
36641,Zn 472.215,67.98,1.8101933598375632,69.26,66.7,,
,,,,,,,
,,,,,,,
36642,Al 308.215,322.67,16.44730373039909,334.3,311.04,,
36642,Ca 430.253,2294.365,253.41999930944667,2473.56,2115.17,,
36642,P 213.618,991.5999999999999,50.840977567312756,1027.55,955.65,,
36642,K 766.491,1619.28,16.334166645409184,1630.83,1607.73,,
36642,Na 589.592,1248.855,29.097444045826496,1269.43,1228.28,,
36642,Fe 238.204,1130.45,130.12178987394844,1038.44,1222.46,,
,,,,,,,
36642,As 188.980,0.84,0.014142135623730963,0.85,0.83,,
36642,B 249.772,2.555,0.0919238815542511,2.62,2.49,,
36642,Cd 214.439,0.20500000000000002,0.03535533905932738,0.18,0.23,,
36642,Co 258.033,0.009999999999999995,0.24041630560342614,0.18,-0.16,,
36642,Cr 267.716,3.7199999999999998,0.24041630560342636,3.55,3.89,,
36642,Cu 327.395,11.405,0.30405591591021525,11.19,11.62,,
36642,Hg 194.164,0.355,0.021213203435596406,0.34,0.37,,
36642,Mg 279.553,189.285,12.211734111091664,197.92,180.65,,
36642,Mn 257.610,4.58,0.0424264068711932,4.61,4.55,,
36642,Mo 202.032,10.04,0.39597979746446693,10.32,9.76,,
36642,Ni 225.385,5.220000000000001,0.2545584412271574,5.4,5.04,,
36642,Ni 227.877,4.65,0.127279220613579,4.56,4.74,,
36642,Pb 220.353,0.9750000000000001,0.09192388155425117,1.04,0.91,,
36642,Sb 206.834,-0.20500000000000002,0.09192388155425119,-0.14,-0.27,,
36642,Si 251.611,351.3,79.02625386540855,407.18,295.42,,
36642,Sn 189.925,0.075,0.3323401871576773,0.31,-0.16,,
36642,Ti 336.122,5.3,0.6929646455628169,5.79,4.81,,
36642,V 319.068,2.995,0.23334523779156074,2.83,3.16,,
36642,Zn 213.857,70.725,2.6940768363207477,68.82,72.63,,
36642,Zn 472.215,71.92,0.38183766184073004,72.19,71.65,,
,,,,,,,
,,,,,,,
36643,Al 308.215,8.26,4.624478348960021,11.53,4.99,,
36643,Ca 430.253,128.535,2.5809397513309125,126.71,130.36,,
36643,P 213.618,138.755,0.9121677477306407,139.4,138.11,,
36643,K 766.491,1068.6399999999999,4.002224381515917,1065.81,1071.47,,
36643,Na 589.592,1131.8899999999999,5.8689862838483124,1127.74,1136.04,,
36643,Fe 238.204,14.805,4.7588286373854665,18.17,11.44,,
,,,,,,,
36643,As 188.980,0.03,0.042426406871192854,0.06,0.0,,
36643,B 249.772,0.16,0.028284271247461888,0.18,0.14,,
36643,Cd 214.439,0.005,0.007071067811865475,0.01,0.0,,
36643,Co 258.033,-0.275,0.021213203435596406,-0.29,-0.26,,
36643,Cr 267.716,0.08,0.0,0.08,0.08,,
36643,Cu 327.395,0.15500000000000003,0.021213203435596427,0.17,0.14,,
36643,Hg 194.164,0.03,0.01414213562373095,0.02,0.04,,
36643,Mg 279.553,39.980000000000004,0.2687005768508899,40.17,39.79,,
36643,Mn 257.610,0.1,0.014142135623730954,0.11,0.09,,
36643,Mo 202.032,0.175,0.007071067811865462,0.18,0.17,,
36643,Ni 225.385,-0.034999999999999996,0.035355339059327376,-0.01,-0.06,,
36643,Ni 227.877,-0.11,0.1414213562373095,-0.21,-0.01,,
36643,Pb 220.353,-0.045,0.09192388155425119,0.02,-0.11,,
36643,Sb 206.834,-0.05500000000000001,0.02121320343559643,-0.07,-0.04,,
36643,Si 251.611,19.715,13.696658351583425,29.4,10.03,,
36643,Sn 189.925,-0.245,0.24748737341529162,-0.42,-0.07,,
36643,Ti 336.122,0.225,0.21920310216782973,0.38,0.07,,
36643,V 319.068,0.13,0.0,0.13,0.13,,
36643,Zn 213.857,0.8300000000000001,0.24041630560342614,1.0,0.66,,
36643,Zn 472.215,0.9,0.6646803743153548,1.37,0.43,,
,,,,,,,
,,,,,,,
36644,Al 308.215,6.8100000000000005,4.8083261120685235,3.41,10.21,,
36644,Ca 430.253,120.74,7.537758287448594,115.41,126.07,,
36644,P 213.618,146.28500000000003,1.3505739520663034,145.33,147.24,,
36644,K 766.491,1064.48,1.7394826817189326,1063.25,1065.71,,
36644,Na 589.592,1142.585,3.9527269068329036,1139.79,1145.38,,
36644,Fe 238.204,8.975,1.902117241391813,7.63,10.32,,
,,,,,,,
36644,As 188.980,0.06,0.08485281374238571,0.0,0.12,,
36644,B 249.772,0.145,0.049497474683058325,0.11,0.18,,
36644,Cd 214.439,0.0,0.0,0.0,0.0,,
36644,Co 258.033,-0.20500000000000002,0.04949747468305831,-0.24,-0.17,,
36644,Cr 267.716,0.055,0.007071067811865472,0.05,0.06,,
36644,Cu 327.395,0.065,0.035355339059327376,0.04,0.09,,
36644,Hg 194.164,0.04,0.0,0.04,0.04,,
36644,Mg 279.553,40.045,0.7848885271170674,39.49,40.6,,
36644,Mn 257.610,0.09,0.014142135623730954,0.08,0.1,,
36644,Mo 202.032,0.07500000000000001,0.007071067811865472,0.08,0.07,,
36644,Ni 225.385,-0.045000000000000005,0.03535533905932738,-0.02,-0.07,,
36644,Ni 227.877,-0.185,0.09192388155425119,-0.25,-0.12,,
36644,Pb 220.353,-0.065,0.035355339059327376,-0.09,-0.04,,
36644,Sb 206.834,0.015,0.10606601717798213,-0.06,0.09,,
36644,Si 251.611,20.915,11.914749262993325,12.49,29.34,,
36644,Sn 189.925,-0.155,0.12020815280171307,-0.24,-0.07,,
36644,Ti 336.122,0.255,0.2050609665440988,0.11,0.4,,
36644,V 319.068,0.08499999999999999,0.007071067811865472,0.08,0.09,,
36644,Zn 213.857,0.365,0.07778174593052022,0.31,0.42,,
36644,Zn 472.215,0.645,0.5727564927611035,0.24,1.05,,
,,,,,,,
,,,,,,,
36645,Al 308.215,2.2750000000000004,2.425376259469858,3.99,0.56,,
36645,Ca 430.253,121.74,0.3959797974644682,121.46,122.02,,
36645,P 213.618,165.57999999999998,1.6829141392240001,164.39,166.77,,
36645,K 766.491,1063.88,5.444722215136448,1060.03,1067.73,,
36645,Na 589.592,1171.145,7.615540033379104,1165.76,1176.53,,
36645,Fe 238.204,6.25,0.16970562748477155,6.37,6.13,,
,,,,,,,
36645,As 188.980,-0.01,0.0,-0.01,-0.01,,
36645,B 249.772,0.10500000000000001,0.007071067811865472,0.11,0.1,,
36645,Cd 214.439,0.0,0.0,0.0,0.0,,
36645,Co 258.033,-0.175,0.021213203435596427,-0.16,-0.19,,
36645,Cr 267.716,0.035,0.007071067811865477,0.04,0.03,,
36645,Cu 327.395,0.0,0.01414213562373095,-0.01,0.01,,
36645,Hg 194.164,0.04,0.014142135623730954,0.05,0.03,,
36645,Mg 279.553,41.144999999999996,0.035355339059330394,41.17,41.12,,
36645,Mn 257.610,0.07,0.0,0.07,0.07,,
36645,Mo 202.032,0.03,0.0,0.03,0.03,,
36645,Ni 225.385,-0.030000000000000002,0.05656854249492381,0.01,-0.07,,
36645,Ni 227.877,-0.185,0.07778174593052022,-0.24,-0.13,,
36645,Pb 220.353,-0.075,0.021213203435596427,-0.09,-0.06,,
36645,Sb 206.834,-0.16999999999999998,0.05656854249492379,-0.13,-0.21,,
36645,Si 251.611,14.379999999999999,12.049099551418768,22.9,5.86,,
36645,Sn 189.925,-0.14,0.04242640687119286,-0.17,-0.11,,
36645,Ti 336.122,0.11499999999999999,0.09192388155425117,0.18,0.05,,
36645,V 319.068,0.07,0.014142135623730954,0.08,0.06,,
36645,Zn 213.857,0.025,0.007071067811865474,0.03,0.02,,
36645,Zn 472.215,0.08,0.41012193308819755,0.37,-0.21,,
,,,,,,,
,,,,,,,
36649,Al 308.215,12.645,2.4536605307173205,10.91,14.38,,
36649,Ca 430.253,119.855,29.677271606399398,98.87,140.84,,
36649,P 213.618,44.275,3.104198769408944,42.08,46.47,,
36649,K 766.491,55.945,0.7707463914933392,56.49,55.4,,
36649,Na 589.592,36.205,0.84145706961199,36.8,35.61,,
36649,Fe 238.204,38.375,0.558614357137377,37.98,38.77,,
,,,,,,,
36649,As 188.980,0.04,0.014142135623730954,0.03,0.05,,
36649,B 249.772,0.16,0.028284271247461888,0.18,0.14,,
36649,Cd 214.439,0.01,0.0,0.01,0.01,,
36649,Co 258.033,0.01,0.0,0.01,0.01,,
36649,Cr 267.716,0.155,0.03535533905932737,0.13,0.18,,
36649,Cu 327.395,0.41500000000000004,0.021213203435596406,0.43,0.4,,
36649,Hg 194.164,0.005,0.007071067811865475,0.01,0.0,,
36649,Mg 279.553,7.58,0.6929646455628169,7.09,8.07,,
36649,Mn 257.610,0.20500000000000002,0.04949747468305831,0.17,0.24,,
36649,Mo 202.032,0.385,0.03535533905932737,0.36,0.41,,
36649,Ni 225.385,0.165,0.007071067811865481,0.16,0.17,,
36649,Ni 227.877,0.175,0.007071067811865462,0.18,0.17,,
36649,Pb 220.353,0.05,0.0,0.05,0.05,,
36649,Sb 206.834,0.02,0.0,0.02,0.02,,
36649,Si 251.611,11.505,1.1242997820866105,10.71,12.3,,
36649,Sn 189.925,-0.005,0.007071067811865475,0.0,-0.01,,
36649,Ti 336.122,0.175,0.021213203435596427,0.16,0.19,,
36649,V 319.068,0.125,0.021213203435596437,0.11,0.14,,
36649,Zn 213.857,2.5949999999999998,0.27577164466275367,2.79,2.4,,
36649,Zn 472.215,2.565,0.30405591591021525,2.78,2.35,,
,,,,,,,
,,,,,,,
36650,Al 308.215,11.445,1.732411613907041,12.67,10.22,,
36650,Ca 430.253,86.82,3.5355339059327378,84.32,89.32,,
36650,P 213.618,40.375,2.5809397513309023,38.55,42.2,,
36650,K 766.491,59.394999999999996,1.7182694782833103,58.18,60.61,,
36650,Na 589.592,39.945,1.22329473145273,39.08,40.81,,
36650,Fe 238.204,42.705,0.13435028842544242,42.61,42.8,,
,,,,,,,
36650,As 188.980,0.045,0.007071067811865477,0.04,0.05,,
36650,B 249.772,0.13,0.0,0.13,0.13,,
36650,Cd 214.439,0.01,0.0,0.01,0.01,,
36650,Co 258.033,0.0,0.0,0.0,0.0,,
36650,Cr 267.716,0.15000000000000002,0.014142135623730944,0.16,0.14,,
36650,Cu 327.395,0.425,0.021213203435596444,0.44,0.41,,
36650,Hg 194.164,0.005,0.007071067811865475,0.01,0.0,,
36650,Mg 279.553,7.0600000000000005,0.09899494936611643,6.99,7.13,,
36650,Mn 257.610,0.16,0.014142135623730963,0.15,0.17,,
36650,Mo 202.032,0.385,0.021213203435596444,0.4,0.37,,
36650,Ni 225.385,0.175,0.007071067811865462,0.18,0.17,,
36650,Ni 227.877,0.175,0.007071067811865462,0.18,0.17,,
36650,Pb 220.353,0.045,0.007071067811865477,0.05,0.04,,
36650,Sb 206.834,0.01,0.0,0.01,0.01,,
36650,Si 251.611,10.64,2.0223253941935257,12.07,9.21,,
36650,Sn 189.925,-0.01,0.0,-0.01,-0.01,,
36650,Ti 336.122,0.16,0.014142135623730963,0.17,0.15,,
36650,V 319.068,0.115,0.021213203435596427,0.13,0.1,,
36650,Zn 213.857,2.665,0.0919238815542511,2.73,2.6,,
36650,Zn 472.215,2.735,0.12020815280171303,2.82,2.65,,
,,,,,,,
,,,,,,,
36651,Al 308.215,0.47500000000000003,0.12020815280171311,0.56,0.39,,
36651,Ca 430.253,27.049999999999997,1.2020815280171302,26.2,27.9,,
36651,P 213.618,11.305,0.558614357137372,10.91,11.7,,
36651,K 766.491,143.29500000000002,4.490128060534572,140.12,146.47,,
36651,Na 589.592,135.11,3.9032294321497494,132.35,137.87,,
36651,Fe 238.204,2.255,0.134350288425444,2.16,2.35,,
,,,,,,,
36651,As 188.980,0.01,0.0,0.01,0.01,,
36651,B 249.772,0.05,0.0,0.05,0.05,,
36651,Cd 214.439,0.0,0.0,0.0,0.0,,
36651,Co 258.033,-0.025,0.007071067811865474,-0.03,-0.02,,
36651,Cr 267.716,0.02,0.01414213562373095,0.03,0.01,,
36651,Cu 327.395,0.015,0.007071067811865475,0.01,0.02,,
36651,Hg 194.164,0.0,0.0,0.0,0.0,,
36651,Mg 279.553,5.875,0.16263455967290624,5.76,5.99,,
36651,Mn 257.610,0.01,0.0,0.01,0.01,,
36651,Mo 202.032,0.02,0.0,0.02,0.02,,
36651,Ni 225.385,0.005,0.007071067811865475,0.01,0.0,,
36651,Ni 227.877,-0.02,0.01414213562373095,-0.01,-0.03,,
36651,Pb 220.353,-0.005,0.007071067811865475,-0.01,0.0,,
36651,Sb 206.834,-0.015,0.007071067811865475,-0.02,-0.01,,
36651,Si 251.611,1.1600000000000001,0.12727922061357852,1.07,1.25,,
36651,Sn 189.925,-0.015,0.007071067811865475,-0.02,-0.01,,
36651,Ti 336.122,0.015,0.007071067811865475,0.02,0.01,,
36651,V 319.068,0.01,0.0,0.01,0.01,,
36651,Zn 213.857,0.07500000000000001,0.007071067811865472,0.07,0.08,,
36651,Zn 472.215,0.030000000000000002,0.028284271247461905,0.01,0.05,,
,,,,,,,
,,,,,,,
36652,Al 308.215,0.48,0.05656854249492382,0.52,0.44,,
36652,Ca 430.253,47.915,0.9263098833543789,48.57,47.26,,
36652,P 213.618,11.195,0.26162950903902327,11.38,11.01,,
36652,K 766.491,166.49,4.7517575695735985,169.85,163.13,,
36652,Na 589.592,143.255,4.574980874276962,146.49,140.02,,
36652,Fe 238.204,1.18,0.028284271247461926,1.16,1.2,,
,,,,,,,
36652,As 188.980,0.0,0.0,0.0,0.0,,
36652,B 249.772,0.045,0.007071067811865477,0.04,0.05,,
36652,Cd 214.439,0.0,0.0,0.0,0.0,,
36652,Co 258.033,-0.03,0.0,-0.03,-0.03,,
36652,Cr 267.716,0.01,0.0,0.01,0.01,,
36652,Cu 327.395,0.01,0.0,0.01,0.01,,
36652,Hg 194.164,0.01,0.0,0.01,0.01,,
36652,Mg 279.553,5.994999999999999,0.2050609665440988,6.14,5.85,,
36652,Mn 257.610,0.01,0.0,0.01,0.01,,
36652,Mo 202.032,0.01,0.0,0.01,0.01,,
36652,Ni 225.385,-0.005,0.007071067811865475,0.0,-0.01,,
36652,Ni 227.877,-0.015,0.007071067811865475,-0.01,-0.02,,
36652,Pb 220.353,-0.015,0.007071067811865475,-0.01,-0.02,,
36652,Sb 206.834,-0.01,0.0,-0.01,-0.01,,
36652,Si 251.611,1.2349999999999999,0.10606601717798222,1.31,1.16,,
36652,Sn 189.925,-0.005,0.021213203435596427,0.01,-0.02,,
36652,Ti 336.122,0.015,0.007071067811865475,0.02,0.01,,
36652,V 319.068,0.01,0.0,0.01,0.01,,
36652,Zn 213.857,0.03,0.0,0.03,0.03,,
36652,Zn 472.215,0.055,0.049497474683058325,0.02,0.09,,
,,,,,,,
,,,,,,,
36653,Al 308.215,0.095,0.03535533905932737,0.12,0.07,,
36653,Ca 430.253,122.63,0.3818376618407401,122.9,122.36,,
36653,P 213.618,12.635,0.03535533905932788,12.61,12.66,,
36653,K 766.491,203.575,0.021213203435597232,203.56,203.59,,
36653,Na 589.592,125.885,0.7707463914933392,125.34,126.43,,
36653,Fe 238.204,0.43000000000000005,0.1555634918610405,0.54,0.32,,
,,,,,,,
36653,As 188.980,0.0,0.01414213562373095,0.01,-0.01,,
36653,B 249.772,0.05,0.0,0.05,0.05,,
36653,Cd 214.439,0.0,0.0,0.0,0.0,,
36653,Co 258.033,-0.025,0.007071067811865474,-0.02,-0.03,,
36653,Cr 267.716,0.034999999999999996,0.035355339059327376,0.06,0.01,,
36653,Cu 327.395,0.035,0.021213203435596427,0.05,0.02,,
36653,Hg 194.164,0.01,0.0,0.01,0.01,,
36653,Mg 279.553,5.465,0.03535533905932725,5.49,5.44,,
36653,Mn 257.610,0.005,0.007071067811865475,0.01,0.0,,
36653,Mo 202.032,0.01,0.0,0.01,0.01,,
36653,Ni 225.385,0.01,0.01414213562373095,0.02,0.0,,
36653,Ni 227.877,-0.005,0.021213203435596427,0.01,-0.02,,
36653,Pb 220.353,0.0,0.0,0.0,0.0,,
36653,Sb 206.834,-0.005,0.007071067811865475,-0.01,0.0,,
36653,Si 251.611,1.04,0.014142135623730963,1.05,1.03,,
36653,Sn 189.925,-0.01,0.0,-0.01,-0.01,,
36653,Ti 336.122,0.015,0.007071067811865475,0.02,0.01,,
36653,V 319.068,0.005,0.007071067811865475,0.01,0.0,,
36653,Zn 213.857,0.05,0.014142135623730947,0.06,0.04,,
36653,Zn 472.215,0.06,0.0,0.06,0.06,,
,,,,,,,
,,,,,,,
90129,Al 308.215,11422.779999999999,38.989867914627105,11395.21,11450.35,,
90129,Ca 430.253,88414.7,784.5632579977276,87859.93,88969.47,,
90129,P 213.618,18104.21,200.97388934884137,17962.1,18246.32,,
90129,K 766.491,7220.655,99.39800023139279,7150.37,7290.94,,
90129,Na 589.592,4587.04,8.386286424872864,4592.97,4581.11,,
90129,Fe 238.204,23052.01,309.7127701597078,22833.01,23271.01,,
,,,,,,,
90129,As 188.980,12.09,2.687005768508881,10.19,13.99,,
90129,B 249.772,79.0,3.3234018715767655,76.65,81.35,,
90129,Cd 214.439,1.63,0.08485281374238562,1.69,1.57,,
90129,Co 258.033,4.994999999999999,0.6717514421272203,4.52,5.47,,
90129,Cr 267.716,835.9449999999999,24.826519087459694,818.39,853.5,,
90129,Cu 327.395,104.875,0.37476659402887097,105.14,104.61,,
90129,Hg 194.164,3.025,0.1767766952966369,2.9,3.15,,
90129,Mg 279.553,3897.175,35.73010565335639,3871.91,3922.44,,
90129,Mn 257.610,660.4649999999999,8.619631662663972,654.37,666.56,,
90129,Mo 202.032,101.62,2.644579361637684,99.75,103.49,,
90129,Ni 225.385,527.285,17.684740597475546,514.78,539.79,,
90129,Ni 227.877,526.03,6.151828996322996,521.68,530.38,,
90129,Pb 220.353,43.515,0.40305086527633227,43.23,43.8,,
90129,Sb 206.834,10.17,2.050609665440987,11.62,8.72,,
90129,Si 251.611,13001.465,349.445100194579,12754.37,13248.56,,
90129,Sn 189.925,13.925,0.049497474683058526,13.96,13.89,,
90129,Ti 336.122,328.945,19.466649686065633,315.18,342.71,,
90129,V 319.068,106.03999999999999,1.880904037956224,104.71,107.37,,
90129,Zn 213.857,391.325,9.722718241315029,398.2,384.45,,
90129,Zn 472.215,444.985,29.12572831707389,465.58,424.39,,
,,,,,,,
,,,,,,,
36646,Al 308.215,6873.553333333333,1172.0136950707245,6479.725,7661.21,,
36646,Ca 430.253,62762.59,8055.515764164329,59965.92,68355.93,,
36646,P 213.618,14387.88,1813.147610207178,13724.119999999999,15715.4,,
36646,K 766.491,45160.18333333333,6016.686086097008,42961.07,49558.41,,
36646,Na 589.592,39498.84,5235.738990744287,37564.759999999995,43367.0,,
36646,Fe 238.204,12943.4,1704.140880209145,12332.630000000001,14164.94,,
,,,,,,,
36646,As 188.980,9.663333333333334,1.1096095409347084,9.605,9.78,,
36646,B 249.772,63.833333333333336,5.3615793693027936,61.26,68.98,,
36646,Cd 214.439,1.32,0.22538855339169284,1.25,1.46,,
36646,Co 258.033,-4.38,2.3904183734233637,-5.475,-2.19,,
36646,Cr 267.716,45.343333333333334,7.695195470768325,42.620000000000005,50.79,,
36646,Cu 327.395,63.74000000000001,12.964246989316427,59.535000000000004,72.15,,
36646,Hg 194.164,3.52,0.8696551040498759,3.39,3.78,,
36646,Mg 279.553,5356.82,666.6359747268367,5114.24,5841.98,,
36646,Mn 257.610,432.85999999999996,52.55466106826299,413.22,472.14,,
36646,Mo 202.032,9.5,1.441353530539958,8.725,11.05,,
36646,Ni 225.385,42.13,9.240979385324911,40.245000000000005,45.9,,
36646,Ni 227.877,44.776666666666664,8.172945205575122,41.17,51.99,,
36646,Pb 220.353,28.24,3.8013024083858418,26.615000000000002,31.49,,
36646,Sb 206.834,-0.7366666666666667,8.003076491783228,-4.085,5.96,,
36646,Si 251.611,9307.466666666667,1026.5645939897468,8979.09,9964.22,,
36646,Sn 189.925,4.386666666666667,3.4418066961021117,2.4050000000000002,8.35,,
36646,Ti 336.122,213.82333333333335,38.083660975979356,201.5,238.47,,
36646,V 319.068,58.99333333333334,6.130956967173509,60.115,56.75,,
36646,Zn 213.857,242.46,27.680493131445477,231.945,263.49,,
36646,Zn 472.215,235.06333333333336,30.08721710848867,232.25,240.69,,
,,,,,,,
,,,,,,,
